Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.7269,Sat Jun 09 11:04:08 +0000 2018,0.305,0.588,0.106,"😂 Fashion sense v common sense: the battle rages on.

Is the 'fanny pack shoe' an ugly fashion step too far?
👉… https://t.co/WJ11O2gJxE",33,BBC
0.0,Sat Jun 09 10:10:06 +0000 2018,0.0,1.0,0.0,"As football fans across the globe look forward to #Russia2018, @mrdanwalker looks back at England's World Cup-winni… https://t.co/3w7JJV7JwI",34,BBC
-0.6808,Sat Jun 09 10:09:40 +0000 2018,0.219,0.73,0.051,"RT @bbcstories: Ever wondered why alcohol can seem to solve all our problems, but ends up making them even worse? This doctor’s explanation…",35,BBC
0.8658,Sat Jun 09 08:55:42 +0000 2018,0.0,0.7,0.3,"RT @BBCBreakfast: Yep, this is real... Russian hosts are being taught how to smile to make visitors feel welcome to the World Cup. 😁
#BBCWo…",36,BBC
0.6239,Sat Jun 09 08:54:21 +0000 2018,0.0,0.806,0.194,"RT @bbcrb: Just amazing.
The WHOLE community was invited to this Iftar meal. THOUSANDS turned up! 🙌🙌 https://t.co/WAOYvHIbx3",37,BBC
0.0,Sat Jun 09 08:53:14 +0000 2018,0.0,1.0,0.0,RT @bbccomedy: Dame Emma Thompson! ❤️ #QueensBirthdayHonours https://t.co/sGDU1GC3SU,38,BBC
0.7579,Sat Jun 09 08:52:54 +0000 2018,0.0,0.787,0.213,"RT @BBC6Music: Which riffs do you wish you had written?

🤘 @st_vincent had some brilliant suggestions when she took over our Instagram toda…",39,BBC
0.8122,Sat Jun 09 08:52:46 +0000 2018,0.0,0.697,0.303,RT @BBCArtsPR: Our very own @wmarybeard has received a damehood in the Queen's birthday honours list - congratulations Mary! @bbcarts @BBCF…,40,BBC
0.5859,Sat Jun 09 08:52:33 +0000 2018,0.0,0.853,0.147,RT @bbcarts: Women across Britain raise banners for suffrage &amp; what it means to be a C21st woman. See selection of brilliant banners prior…,41,BBC
0.0,Sat Jun 09 08:50:01 +0000 2018,0.0,1.0,0.0,"RT @BBCEngland: Britain's longest-serving poppy seller, 103-year-old Rosemary Powell, has been appointed an MBE in the Queen's birthday hon…",42,BBC
0.4215,Sat Jun 09 08:32:05 +0000 2018,0.0,0.877,0.123,"🇬🇧 @huwbbc introduces live coverage of the military parade to mark the official birthday of HM the Queen. 

Troopin… https://t.co/y1b6OpOoey",43,BBC
0.7783,Sat Jun 09 07:28:04 +0000 2018,0.097,0.51,0.393,"The charming and beautiful films of Lotte Reiniger, forgotten pioneer of animation. https://t.co/T2N7eLjHKh",44,BBC
0.0,Fri Jun 08 20:04:03 +0000 2018,0.0,1.0,0.0,"🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the B… https://t.co/l8FI1nOTWY",45,BBC
0.7809,Fri Jun 08 18:09:05 +0000 2018,0.0,0.617,0.383,💃🕺 Why does dancing with our friends make us feel so good? https://t.co/iokI919nJp,46,BBC
0.5574,Fri Jun 08 17:03:04 +0000 2018,0.0,0.841,0.159,🎶🦈🚀🚗 From jazz-loving sharks to @elonmusk shooting his car into space: these are the 7 funniest news stories of the… https://t.co/TN5XaD9I0k,47,BBC
0.0,Fri Jun 08 16:02:00 +0000 2018,0.0,1.0,0.0,Leaving your responsibilities behind on a Friday like... 💁👋 #FridayFeeling @taylorswift13 https://t.co/wvmpzlOSel,48,BBC
0.4019,Fri Jun 08 13:03:05 +0000 2018,0.0,0.829,0.171,"📺 From drama Succession to the return of @PoldarkTV, here are the TV shows worth watching in June. 
👉… https://t.co/VFdghjNGmK",49,BBC
0.784,Fri Jun 08 12:28:10 +0000 2018,0.0,0.734,0.266,RT @bbcouch: We can announce today that Britain's Got Talent winner @LostVoiceGuy will be hosting our Storytelling Live event at @edfringe!…,50,BBC
0.34,Fri Jun 08 12:24:37 +0000 2018,0.0,0.854,0.146,"RT @BBCEarth: We all have a part to play in protecting #OurBluePlanet.
#WorldOceansDay 💙 https://t.co/1TM73iYPmA",51,BBC
-0.8126,Fri Jun 08 12:19:25 +0000 2018,0.27,0.73,0.0,"💔 US celebrity chef and television personality Anthony Bourdain has been found dead in his hotel room, aged 61.
👉… https://t.co/55jBxSrdUS",52,BBC
0.0,Fri Jun 08 12:04:03 +0000 2018,0.0,1.0,0.0,The unexpected pioneering women of electronic music. https://t.co/ih6gK1Sz0y,53,BBC
-0.2263,Fri Jun 08 11:03:04 +0000 2018,0.106,0.894,0.0,"Forget hygge, a new Nordic lifestyle trend called 'päntsdrunk' is all about drinking in your underwear. 👙🍻… https://t.co/SBTQBZ5E5e",54,BBC
0.2023,Fri Jun 08 10:52:51 +0000 2018,0.0,0.927,0.073,"RT @UKMoments: All-day Friday @BBC6Music will be playing an all-female playlist, spun by an all-woman DJ line up as part of the BBC's #Hear…",55,BBC
0.0,Fri Jun 08 10:50:03 +0000 2018,0.0,1.0,0.0,"Pippa Middleton has confirmed she is expecting her first child with husband James Matthews. 
https://t.co/4SiziX5Tix https://t.co/bFobAI2hBp",56,BBC
-0.3089,Fri Jun 08 09:01:04 +0000 2018,0.17,0.83,0.0,"'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",57,BBC
0.4404,Fri Jun 08 08:46:14 +0000 2018,0.0,0.861,0.139,"RT @BBC6Music: This Friday, @St_Vincent takes over our Instagram (https://t.co/ui96YFYsuH) and offers some advice to improve your day. Here…",58,BBC
0.5413,Fri Jun 08 08:01:07 +0000 2018,0.0,0.741,0.259,"These ducklings jumping from their nest are absolutely adorable. 🦆🐣❤️️
https://t.co/NlQijnt3hm",59,BBC
-0.1603,Fri Jun 08 07:29:05 +0000 2018,0.075,0.925,0.0,"🏙 We often think of cities as the least healthy places to live. But what does the research say?
👉… https://t.co/gm4wRIFCQG",60,BBC
